front,back,hint,publishedAt
"Laktoseintoleranz","Lactose intolerance","oder Menschen mit Laktoseintoleranz.","2022-03-02T21:56:07.801Z"
"die Klage","the lawsuit","","2021-06-04T16:58:04.859Z"
"Schrott","scrap metal","– Na ja, das Fahrrad sieht aus\nwie Schrott.","2022-03-03T06:00:26.377Z"
"Toilettenpapier","Toilet paper","– Toilettenpapier?","2022-03-03T05:53:21.563Z"
"die Furcht/die Angst","fear / fear","","2021-01-29T06:02:23.771Z"
"Ausbruch","outbreak","","2021-07-01T22:38:49.846Z"
"Turteltauben","Lovebirds","Soll ich die beiden Turteltauben\nmal von Ihnen grüßen?","2022-03-02T21:50:37.966Z"
"Klavier","Piano","Er schrieb viele Stücke für Geige und Klavier","2022-03-02T13:02:28.025Z"
"auswandern","emigrate","","2021-05-06T07:11:43.929Z"
"Vollstreckungsbeamte","Law enforcement officers","","2021-07-01T22:45:06.644Z"
"Eine Zusage","A confirmation","– Eine Zusage!","2022-03-02T11:19:53.485Z"
"ermutigen","encourage","","2021-05-03T09:40:23.353Z"
"Jubiläum","anniversary","Was wünscht ihr euch denn zum Jubiläum?","2022-03-02T12:33:20.473Z"
"Jura","law","Ich hasse Jura,\nich hasse alles daran.","2022-03-02T09:57:23.647Z"
"Pflegeheim","Nursing home","– Meine anderen Großeltern\nwohnen in einem Pflegeheim.","2022-03-02T10:17:17.601Z"
"Filmbranche","Film industry","– Ab nächster Woche bist du offiziell\nin der Filmbranche tätig.","2022-03-02T21:41:48.422Z"
"die leiblichen Eltern","the birth parents","","2021-06-10T06:05:50.382Z"
"wortwörtlich","literally","Ich möchte gerne alles\nwortwörtlich umsetzen.","2022-03-02T11:16:17.461Z"
"angeln","fishing","– Warum gehen wir nicht öfter angeln?","2022-03-02T11:23:35.751Z"
"heilig","holy","– „Stille Nacht, heilige Nacht“.","2022-03-02T10:11:27.524Z"
"Flutlicht","Floodlight","","2022-03-02T09:34:06.455Z"
"beim Lügen erwischt.","caught lying.","","2022-03-02T12:39:36.827Z"
"Pure Körperkraft!","Pure physical strength!","","2022-03-02T11:38:24.859Z"
"begleiten","to accompany","","2021-02-27T07:16:48.269Z"
"die Abfahrt","the departure","","2021-06-07T22:10:22.816Z"
"Stubenwagen","Bassinet","","2021-05-27T08:04:28.870Z"
"Mach’s gut","Take care","– Mach’s gut.","2022-03-02T21:30:47.295Z"
"bedrückt sein","be depressed","","2021-07-08T13:53:02.463Z"
"tragisch","tragic","– Das ist tragisch.","2022-03-02T11:21:20.210Z"
"Heimweh","Homesickness","Ich hatte fast ein bisschen Heimweh.","2022-03-02T09:55:18.005Z"
"die Ursache","the cause","Wir suchen die Ursache der Krankheit.","2021-06-10T23:23:27.360Z"
"Pure Freiheit","Pure freedom","Pure Freiheit!","2022-03-02T11:38:12.690Z"
"Restaurantbesitzer","Restaurant owner","Er ist Restaurantbesitzer.","2022-03-02T21:36:19.979Z"
"Das schaffst du","You can do it","Das schaffst du.","2022-03-02T10:03:23.571Z"
"führend","leading","","2021-07-08T13:49:28.240Z"
"Wellen","waves","Und die Wellen unter mir","2022-03-02T09:47:06.410Z"
"die Scheidung","the divorce","","2021-06-10T06:06:33.487Z"
"bezeugen","testify","","2021-06-05T08:08:43.957Z"
"lebendig","lively","So leicht und so lebendig","2022-03-02T09:50:07.801Z"
"Rohen","Raw","","2022-03-02T09:33:52.008Z"
"glitschigen","slippery","","2021-02-05T14:39:11.318Z"
"unwichtig","unimportant","","2021-02-05T12:37:14.567Z"
"Ehering","Wedding ring","– Ich trag immer noch seinen Ehering.","2022-03-02T12:01:17.258Z"
"Ziegenkäse","Goat cheese","Der Ziegenkäse war\nköstlich.","2022-03-02T11:51:36.616Z"
"das Gewichtheben","the weightlifting","","2021-06-14T15:15:50.440Z"
"der schalter","the desk","","2021-06-24T07:15:58.773Z"
"freiberuflich / selbstandig","freelance / self-employed","","2021-06-21T05:39:20.629Z"
"stellen","put","","2021-06-12T22:19:54.804Z"
"die Ware","the goods","","2021-06-04T16:56:18.182Z"
"verantwortungslos / unverantwortlich","irresponsible","– Ich halte mich bestimmt nicht raus,\nwenn du so verantwortungslos bist.","2022-03-02T21:28:17.145Z"
"getrennten","separated","","2021-04-30T14:58:45.560Z"
"schwindlig","dizzy","","2021-04-30T05:29:33.596Z"
"die eilsendung","the express delivery","","2021-06-24T07:15:52.626Z"
"der Truthahn","the turkey","","2021-06-14T15:15:03.518Z"
"auftreten","occur","Das Auftreten einer Grippe kann sehr plötzlich sein.","2021-01-31T00:13:02.765Z"
"die Schwiegermutter","the mother in law","","2021-06-10T06:05:24.375Z"
"Anschaffungspreis / kaufpreis","Purchase price","","2021-05-20T07:25:01.171Z"
"der Sicherungskasten","Fuse box","","2021-04-30T06:19:41.334Z"
"keimen / sprießen","germinate / sprout","","2021-06-12T05:44:45.267Z"
"die Röntgenaufnahme","the X-ray","Eine Röntgenaufnahme zeigt, wo der Knochen gebrochen wurde.","2021-06-10T23:20:48.508Z"
"die Müllabfuhr","waste collection","","2021-06-24T07:20:00.483Z"
"der Schiedsrichter","the referee","","2021-06-14T15:16:39.671Z"
"schwingend","swinging","","2021-04-30T12:58:25.382Z"
"der Aasfresser","the scavenger","","2021-06-14T22:34:05.497Z"
"die Familienfeier","the family celebration","","2021-06-12T05:37:33.352Z"
"sperren","lock","","2021-05-03T06:55:38.963Z"
"bestückt","equipped","","2021-04-30T14:34:39.236Z"
"die Abendkasse","the box office","","2021-06-14T15:13:46.998Z"
"Berührungspunkte","Points of contact","","2021-06-22T07:57:26.150Z"
"unterschiedlich","differently","","2021-06-22T06:45:10.725Z"
"sich ärgern über","to be angry with","","2021-06-24T07:18:35.152Z"
"der Liebhaber","the lover","","2021-06-10T23:16:39.405Z"
"die Buchhaltung","the accounting","","2021-06-04T16:54:28.807Z"
"grandios","terrific","","2021-05-01T06:47:57.136Z"
"versteigurung","auction","","2021-02-18T06:25:24.811Z"
"ausgraben","dig out","","2021-06-12T05:40:22.932Z"
"die Schwägerin","The sister-in-law","","2021-06-10T06:05:16.758Z"
"Das Kaninchen","The bunny","Das Kaninchen springt.","2021-06-14T22:32:34.276Z"
"verhindern / unterbinden / unterdrucken","prevent / prevent / suppress","","2021-04-15T06:25:20.343Z"
"Belastung","burden","","2021-02-01T09:43:46.221Z"
"kuscheln / Liebkosung","cuddle","","2021-04-30T09:34:12.975Z"
"der Großhändler","the wholesaler","","2021-06-04T16:56:01.674Z"
"Dachboden","Attic","","2021-05-03T08:57:58.796Z"
"die Verwandten","the relatives","","2021-06-10T06:04:38.369Z"
"Integrität","integrity","","2021-05-05T07:08:37.484Z"
"wohlgeformten","well-formed","","2021-01-30T07:33:49.957Z"
"am wichtigsten","most importantly","Am wichtigsten ist die Familie.","2021-02-10T10:54:57.204Z"
"bestanden","passed","","2021-02-07T13:56:51.630Z"
"flügel","wing","","2021-01-26T14:24:04.736Z"
"zuversichtlich / selbssicher / selbsbewust","confident","","2021-02-13T19:16:47.374Z"
"Mörder / Mörderin","Killer","","2021-02-06T17:44:52.126Z"
"unterbinden","prevent","","2021-01-30T13:47:08.722Z"
"Bedingung","condition","","2021-02-02T08:17:29.585Z"
"hüter","guard","","2021-02-14T18:43:45.359Z"
"der Marmor","the marble","","2021-02-22T14:28:03.753Z"
"obwohl / zwar","although","","2021-06-22T06:45:38.421Z"
"sich dehnen","to stretch","Ich dehne mich immer nach dem Training.","2021-06-10T23:22:42.996Z"
"der Kreuzkümmel","the cumin","","2021-06-14T15:14:54.816Z"
"die Kräuter","the herbs","","2021-06-12T22:24:13.510Z"
"arbeitswütig","eager to work / workaholic","","2021-06-21T05:39:44.672Z"
"Korruption / Verderbnis / korrupt","Corruption / corruption / corrupt","","2021-06-03T13:26:25.292Z"
"die Altersversicherungskasse","Provident fund / the old-age insurance fund","","2021-06-21T05:41:57.076Z"
"die Lohnerhöhung","the wage increase","","2021-06-04T16:54:18.552Z"
"Rechtsanwaltskanzlei","Law firm","","2021-05-05T12:26:04.119Z"
"erschrocken","frightened","","2021-04-29T10:31:55.695Z"
"Einsteigevorgang / Boarding-Prozess","Boarding process","","2021-04-30T14:27:03.435Z"
"anschreien","shout at","","2021-05-20T07:19:30.193Z"
"Verfügung","Available","","2021-02-07T13:47:30.879Z"
"gekonnt / geschickt","skillfully / skillfully","","2021-04-28T22:02:11.130Z"
"unangefochtener","undisputed/unchallenged","","2021-02-02T11:50:37.613Z"
"Schöne Grüße / Begrüßungen","Greetings","","2021-04-30T06:45:31.567Z"
"genial","ingenious","","2021-04-29T14:17:54.732Z"
"Magen","stomach","","2021-04-29T08:22:18.306Z"
"Schneidersitz","Sitting cross legged","","2021-04-29T12:48:20.093Z"
"unbeschreibliche","indescribable","","2021-04-29T08:44:59.605Z"
"gemustert","patterned","","2021-04-15T07:24:21.010Z"
"Boulevardzeitschriften","Tabloids","","2021-04-30T06:08:27.585Z"
"andeutung","hint","","2021-01-27T06:39:31.368Z"
"der Schritt/ die Maßnahme","step/measure","","2021-01-20T14:02:57.826Z"
"erleichterung","relief (relief)","","2021-02-26T15:18:46.573Z"
"bedingung","condition","Bedingungen gelten","2021-02-01T09:44:27.244Z"
"der zutritt / der Zugriff / der Zugang","access","","2021-02-27T21:25:05.699Z"
"verstopft","clogged","","2021-04-28T21:39:37.797Z"
"Jugendlichen","Teenagers","","2021-02-12T14:48:37.994Z"
"haut","skin","","2021-02-27T11:52:47.446Z"
"Einwirkung / Einflussen","Influence/ Impact","","2021-02-22T10:01:54.193Z"
"isoliert","isolated","","2021-02-10T10:55:28.290Z"
"dreckig / schmutzig","dirty","","2021-02-12T09:55:06.163Z"
"abschleppen","tow","","2021-02-08T10:10:50.405Z"
"auftrag","order/assignment","","2021-02-24T12:29:31.552Z"
"Das Erdbeben","The earthquake","","2021-06-12T05:41:33.735Z"
"das postamt","the post office","","2021-06-24T07:15:09.964Z"
"messen","measure up","Zuerst messen wir Ihren Blutdruck.","2021-06-10T23:20:21.419Z"
"fließen","flow","","2021-04-29T12:37:09.440Z"
"kontinuierlich","continuously","","2021-06-21T21:14:03.163Z"
"Impfverweiger","Refusal to vaccinate","","2021-06-21T21:06:11.406Z"
"Die Schande","The shame","","2021-06-21T05:58:43.414Z"
"mehrere","several","","2021-06-22T06:47:46.838Z"
"Dem Vorabend","eve","","2021-06-21T05:58:18.389Z"
"rücklings","backwards","","2021-01-31T01:51:57.047Z"
"basteln / Handwerk","handcraft","","2021-02-01T21:23:19.401Z"
"gefährdet","endangered","","2021-06-16T17:23:32.501Z"
"politisch","politically","","2021-06-28T06:00:33.490Z"
"Abkochen","Boil","","2021-06-17T12:11:09.137Z"
"Die Herde","The herd","","2021-06-16T17:24:37.888Z"
"spielerische","playful","Die Erinnerung auf spielerische Weise unterstützen","2021-06-16T17:34:18.103Z"
"Das wilde Leben","The wild life","","2021-06-16T17:25:19.652Z"
"der Esel","the donkey","","2021-06-14T22:32:44.501Z"
"die Ziege","the goat","","2021-06-14T22:32:53.517Z"
"der Papagei","the parrot","","2021-06-14T22:33:06.030Z"
"die Forelle","the trout","","2021-06-15T20:25:27.931Z"
"wischen","wipe","","2021-05-03T08:45:44.451Z"
"das Genre","the genre","","2021-06-13T22:04:44.639Z"
"die Wärme","the warmth","Die Wärme trocknete die Feuchtigkeit aus.","2021-06-14T22:28:48.734Z"
"die Rühreier","the scrambled eggs","","2021-06-12T22:22:37.745Z"
"kribbeln/kitzle","tingle/tickle","","2021-01-26T07:57:53.218Z"
"das Lamm","the Lamb","","2021-06-12T22:24:36.802Z"
"fit werden","to get fit","Nach den Weihnachten will ich wieder fit werden.","2021-06-14T20:36:52.996Z"
"pfeifen","Pipes / শীষ দেয়া","Ich kann nicht pfeifen.","2021-06-14T15:16:10.895Z"
"die Wirbelsäule","the spine","Die Wirbelsäule besteht aus 33 bis 34 Wirbeln.","2021-06-10T23:21:44.521Z"
"die Kartoffelpüree","the mashed potatoes","","2021-06-12T22:24:47.090Z"
"das Training","the workout","Das Training habe ich dreimal pro Woche.","2021-06-10T23:23:22.900Z"
"Das Gebäck","The pastry","","2021-06-12T22:23:06.502Z"
"Die Mitternacht","Midnight","","2021-06-12T05:46:48.021Z"
"der Sonnenuntergang","the sunset","","2021-06-12T05:41:00.158Z"
"das Gras","the grass","","2021-06-12T05:40:05.186Z"
"der Regenwald","the rainforest","","2021-06-12T05:41:26.587Z"
"das Feld","the field","","2021-06-12T05:40:34.613Z"
"das Blatt","the leaf","","2021-06-12T05:44:24.528Z"
"der Obstgarten","the orchard","","2021-06-12T05:43:35.975Z"
"Pleite","broke","","2021-06-06T19:48:38.797Z"
"operieren","operate","Wann wirst du operiert?","2021-06-10T23:21:09.038Z"
"das Ehepaar","the couple","","2021-06-10T06:05:33.532Z"
"Der Informationsschalter","The information desk","","2021-06-07T22:09:42.180Z"
"der Vandalismus","the vandalism","","2021-06-05T08:09:15.220Z"
"abheben","take off","","2021-06-07T22:09:59.775Z"
"die Enkelkinder","the grandchildren","","2021-06-10T06:06:08.070Z"
"entsperren","unlock","","2021-06-08T06:52:30.896Z"
"Verwendung / nutzen","Use","","2021-01-31T00:27:00.842Z"
"die Kinder in Pflege","the children in care","","2021-06-06T19:49:33.793Z"
"Durchsuche","Search","","2021-06-06T19:54:52.213Z"
"aktualisieren","To update","","2021-06-08T06:51:13.790Z"
"Netzstecker","Power plug","","2021-05-20T07:20:07.279Z"
"kabellos","wireless","","2021-06-06T19:55:17.011Z"
"gelangen/ erreichen / erwerben","reach / acquire","","2021-04-30T12:42:03.493Z"
"zinssatz / zinsen","interest rate / interest","","2021-06-03T13:32:08.137Z"
"Polterabend","Hen party","","2021-05-27T08:05:09.015Z"
"Das Moskito / die Mücke","The mosquito","","2021-06-02T09:24:51.309Z"
"Bräutigam","groom","","2021-05-27T08:05:24.027Z"
"Nachwuchs","offspring","","2021-05-27T08:07:03.619Z"
"zwischenzeitlich / inszewischwen","in the meantime / intermittently","","2021-04-30T09:19:54.009Z"
"Fußboden","floor","","2021-05-03T06:39:43.854Z"
"Wippe","Seesaw","","2021-05-02T12:06:09.009Z"
"zerstören / vernichten","destroy","","2021-02-12T09:09:31.314Z"
"verschmutzen","pollute","","2021-04-15T06:26:12.063Z"
"Servieren","Serve","","2021-05-20T06:24:05.842Z"
"hai","shark","","2021-05-07T05:23:06.194Z"
"Rolltreppe","Escalator","","2021-05-05T12:37:00.877Z"
"Pomade","hair gel","","2021-05-06T07:14:02.070Z"
"beuge","bend","","2021-04-30T09:56:54.662Z"
"angezündet / anzünden","lit / ignite","","2021-04-30T06:21:30.048Z"
"nicken","nod","","2021-05-03T09:42:35.545Z"
"Hürde","hurdle","","2021-05-03T08:39:49.489Z"
"kariert","checkered","","2021-04-15T07:23:11.850Z"
"fuehren","lead","","2021-04-08T06:28:10.077Z"
"Kundenstammnummer","Customer reference number","","2021-05-04T06:22:54.620Z"
"Pünktlichkeit","punctuality","","2021-05-03T05:49:06.798Z"
"intim /innig","intimate","","2021-05-03T09:35:15.171Z"
"anstrengend","exhausting","","2021-02-07T14:06:43.213Z"
"beleidigend","offensive","","2021-02-13T19:17:17.709Z"
"der Handelshafen","the commercial port","","2021-03-01T09:05:12.007Z"
"Klempner","plumber","","2021-04-28T21:42:08.934Z"
"knackig","crisp","Das Gemüse war frisch und knackig.","2021-04-30T06:10:47.075Z"
"traute","trusted","","2021-04-30T06:33:56.316Z"
"vergleichbar","comparable","","2021-04-30T05:39:06.864Z"
"hartnäckig / sturr","persistent / stubborn","","2021-02-27T13:54:41.617Z"
"Tritt","Kick","","2021-02-25T14:51:42.862Z"
"Ziffer","Digit","","2021-05-01T07:08:52.177Z"
"Die Konkurrenz","The competition","","2021-02-11T08:19:34.995Z"
"anstellen","hire","","2021-06-17T12:12:13.656Z"
"die kette","the chain","Das ist eine Kette","2021-06-16T17:32:22.998Z"
"übel","sick / bad","","2021-06-24T07:14:43.087Z"
"das nahrungsmittel","food product","","2021-06-24T07:14:49.447Z"
"basierend auf einem Buch","based on a book","","2021-06-14T22:27:48.238Z"
"der teppich","the carpet","Es wird als Tagesdecke, Decke oder Teppich verwendet.","2021-06-16T17:32:34.739Z"
"der Anbieter","the supplier","-\nIst das ein privater Telefonanbieter?","2022-03-20T14:38:11.303Z"
"ausreichend","sufficient (genügend)","","2021-02-08T09:28:15.810Z"
"Der Angriff","The attack","","2021-06-05T09:32:01.435Z"
"Branchenbuch","Business directory","","2021-04-28T21:41:26.304Z"
"neugierig","curious","","2021-03-05T11:03:34.395Z"
"mehren / multiplizieren","increase/multiply","","2021-02-28T07:55:08.871Z"
"Firmenfeier / betriebsfeier","company party","","2021-04-29T13:48:50.138Z"
"Lerntreffen","Study meetings","","2021-04-30T05:50:28.012Z"
"Heugabel","pitchfork","","2021-04-29T10:28:39.974Z"
"hauptsächlich","mainly","","2021-03-01T09:04:34.845Z"
"Reitbeteiligung","Horse sharing","","2021-04-29T10:25:30.888Z"
"kasten","box","","2021-02-25T14:23:39.570Z"
"Taucheranzug","Diving suit","","2021-05-01T11:55:14.217Z"
"versaute / Schmutzig","Dirty","","2021-04-29T07:25:09.521Z"
"Donner","Thunder","","2021-04-08T06:46:07.960Z"
"landschaft","landscape","","2021-04-15T06:26:40.381Z"
"Bügel","hanger","","2021-04-30T09:21:21.097Z"
"wiedervereinigung","reunification","","2021-02-04T06:10:01.855Z"
"unzählige / zahllos","innumerable / countless","","2021-02-05T14:16:27.490Z"
"glatt (glätten (v))","smooth","","2021-02-27T13:56:15.254Z"
"tätigkeit","activity","","2021-02-27T09:59:41.683Z"
"überwältig","overwhelming","","2021-04-30T05:40:55.136Z"
"revidieren","revise","","2021-02-13T21:12:31.646Z"
"die Branche","the industry","","2021-02-10T10:54:44.116Z"
"wohl","well","","2021-04-29T11:52:32.395Z"
"Reiten","horse riding","","2021-04-29T07:21:37.433Z"
"rebellisch","rebellious","","2021-02-13T19:19:57.813Z"
"schrei","scream","","2021-02-10T13:24:23.782Z"
"umzudrenen","to reverse","","2021-01-27T06:20:38.481Z"
"kreisförmig","circular","","2021-02-27T10:07:09.574Z"
"Aschenbecher","Ashtray","","2021-02-07T00:22:38.942Z"
"großzügig","generous","","2021-02-13T19:18:02.113Z"
"das Kamel","The camel","","2021-02-10T10:54:31.142Z"
"Abtreibung","Abortion","","2021-02-15T09:05:04.626Z"
"die Band","the band","","2021-02-07T23:36:06.119Z"
"dabei","with it","","2021-01-16T15:45:25.065Z"
"mitfühlend","compassionate","","2021-02-16T11:04:43.577Z"
"triftig / gültig","valid","","2021-02-01T10:08:13.758Z"
"bügeln","iron/ cloth iron","","2021-02-18T07:54:46.284Z"
"blaumachen","excuse অযুহাত","","2021-02-04T08:25:57.338Z"
"Zweigeteilte","Two parts","","2021-02-22T14:07:13.848Z"
"Pinsel","Brush","","2021-02-07T14:14:17.000Z"
"Bändchen","Ribbons","","2021-01-30T23:44:58.538Z"
"die Gabel","the fork","","2021-02-13T19:07:56.548Z"
"vorlage","template","","2021-02-01T22:08:25.590Z"
"abgerichtet / ausgebildet","trained","","2021-02-04T22:25:35.380Z"
"brochen","broke","","2021-02-01T22:03:02.156Z"
"kuscheln","cuddle","","2021-01-28T14:16:13.960Z"
"Rachen","Throat","","2021-01-30T07:55:36.989Z"
"überlegen/nachdenken","consider","","2021-01-27T19:40:38.534Z"
"untragbar","intolerable","","2021-01-27T17:34:10.001Z"
"die Wade","the calf","Er hat einen Krampf in der linken Wade.","2021-06-10T23:19:26.061Z"
"abmachtung","agreement","","2021-02-13T22:38:52.690Z"
"das Urteil","the judgment","","2021-06-05T08:07:44.119Z"
"Tippen","Tap","","2021-06-08T06:51:52.899Z"
"interpretieren","interpret","","2021-02-08T09:27:01.148Z"
"der Kamin","the chimney","","2021-02-13T19:11:01.883Z"
"egoistisch / eigennützig / eigensüchtig","selfish","","2021-02-13T19:18:56.030Z"
"erleben/ erfahren","to experience","","2021-02-07T14:02:45.807Z"
"Premierminister","prime minister","","2021-06-21T21:09:46.176Z"
"davor","before that","","2021-01-19T12:44:09.381Z"
"Die Währung","the currency","","2021-06-02T09:25:40.338Z"
"steckdose","socket","","2021-05-20T07:24:23.476Z"
"ausdenken","imagine","","2021-06-17T12:14:27.326Z"
"die Spezialeffekte","the special effects","In dem Film werden Spezialeffekte verwendet.","2021-06-14T22:27:40.343Z"
"strecken / sich dehnen","stretch / stretch","","2021-01-31T16:44:04.639Z"
"die Kreatur","the creature","","2021-06-16T17:25:14.593Z"
"die Kostüme","the costumes","","2021-06-14T15:13:57.006Z"
"Der Fotoapparat","The camera","Das ist eine Fotoapparat","2021-06-16T17:32:08.544Z"
"Das Feuerzeug","The lighter","Das ist ein feuerzeug","2021-06-16T17:32:53.323Z"
"Zwar","Although","","2021-02-08T15:19:23.671Z"
"protestieren","protest","Ich wollte protestieren für Gerechtigkeit","2021-06-16T17:29:50.298Z"
"die Henne","the hen","Die Henne legt Eier.","2021-06-14T22:31:38.187Z"
"Windeln wechseln","change diapers","","2021-06-10T23:15:47.981Z"
"der Löwe","the lion","Der Löwe ist der König der Tiere.","2021-06-14T22:31:55.349Z"
"der Schimpanse","the chimpanzee","","2021-06-14T22:31:19.378Z"
"die Kekse","the cookies","","2021-06-12T22:24:08.954Z"
"das Eigelb","The egg yolk","","2021-06-12T22:23:00.926Z"
"Rollstuhl","wheelchair","","2021-05-06T07:12:30.042Z"
"der Kapitän","the captain","","2021-06-14T20:37:29.754Z"
"rühren","stir","","2021-06-14T15:15:23.269Z"
"der Kürbis","the pumpkin","","2021-06-12T22:25:10.949Z"
"die Szene","the scene","","2021-06-13T22:05:00.281Z"
"die Kathedrale","the Cathedral","","2021-06-10T06:01:53.224Z"
"der Stiefvater","the stepfather","","2021-06-10T06:04:23.674Z"
"das Kleinkind","the toddler","","2021-06-10T06:04:00.262Z"
"die Nichte","the niece","","2021-06-10T06:04:31.470Z"
"ergendwie","Somehow/Whatever","","2021-01-19T22:17:08.217Z"
"minimieren","minimize","","2021-06-08T06:51:20.017Z"
"speichern","to save","","2021-06-06T19:54:33.102Z"
"der Pass","the passport","","2021-06-07T22:12:34.467Z"
"hochladen","upload","","2021-06-07T22:08:19.033Z"
"Betriebssystem","operating system","","2021-06-07T22:08:07.362Z"
"hochscrollen","scroll up","","2021-06-06T19:56:16.918Z"
"runterscrollen","scroll down","Ich muss die Seite runterscrollen, um die nächsten Artikel zu sehen.","2021-06-06T19:56:01.259Z"
"schickte eine E-Mail","sent an email","","2021-06-06T19:54:02.112Z"
"Festplatte","hard disk","","2021-06-06T19:56:47.659Z"
"das alternative Urteil","the alternative judgment","","2021-06-05T08:09:42.332Z"
"die Amnestie","the amnesty","","2021-06-05T09:31:25.694Z"
"pauschal","flat-rate","","2021-04-28T21:43:51.007Z"
"unbewusst","unconsciously","","2021-04-28T22:01:40.128Z"
"das öffentliche Image","the public image","","2021-06-04T16:53:43.294Z"
"das Schaf","the sheep","","2021-06-02T09:25:03.253Z"
"lukrativ","lucrative","","2021-06-04T16:53:54.511Z"
"der Begriff","the term/concept/idea","","2021-06-02T09:19:08.526Z"
"der Schal","the scarf","","2021-02-13T19:03:02.996Z"
"ein Pfund","a pound","","2021-06-02T09:26:28.512Z"
"Himmelsrichtungen","Cardinal points / Compass directions","","2021-06-02T09:22:46.238Z"
"der Affe","the monkey","","2021-06-02T09:24:15.453Z"
"mangelhaft","inadequate","","2021-06-02T09:22:04.706Z"
"auffallen","stand out","","2021-06-02T09:28:59.799Z"
"das Gewicht","the weight","","2021-06-02T09:25:52.033Z"
"das Maß","the measure","","2021-06-02T09:26:10.424Z"
"das Jahrhundert","the century","","2021-06-02T09:19:29.247Z"
"die Biene","the bee","","2021-06-02T09:24:25.448Z"
"die Schulnote","the mark","","2021-06-02T09:21:44.794Z"
"hässlich","ugly","","2021-06-02T09:14:08.282Z"
"langjährigen","longstanding","","2021-04-29T06:14:14.386Z"
"Formalitate","Formalities","","2021-05-27T08:08:17.511Z"
"Vergnügen","pleasure","","2021-01-26T15:02:51.900Z"
"ekelte / ekelhaft / ekig","disgusting / disgusting / disgusting","","2021-04-29T07:20:33.133Z"
"zu guter Letzt","last but not least","Zu guter Letzt fiel ihr noch ein Argument ein.","2021-01-18T06:23:37.742Z"
"aufregend","exciting","","2021-02-07T14:09:49.302Z"
"dekorativ / zier","decorative / ornamental","","2021-04-30T12:43:04.326Z"
"Förderung","advancement","","2021-05-05T07:40:11.685Z"
"Maid","maid","","2021-05-20T06:31:46.351Z"
"schwanzfloss","tail fin","","2021-05-07T05:21:48.054Z"
"unbegrenzt","unlimited","","2021-05-03T07:05:46.668Z"
"das Etikett","the label","","2021-05-05T12:31:36.068Z"
"Ablehnen (abgelehnt)","decline / reject","","2021-04-28T21:47:02.319Z"
"Reisverschluss","Zipper","","2021-04-30T21:18:25.799Z"
"unterirdisch","underground","","2021-05-03T05:52:51.169Z"
"Vorbild","Idol","","2021-05-06T07:08:10.716Z"
"Bevor","Before","","2021-05-06T06:17:42.343Z"
"verhältnis/beziehung","relation/relationship","","2021-01-26T11:34:35.659Z"
"Kontaktlinse","contact lense","","2021-05-03T09:54:34.760Z"
"Feder","feather","","2021-05-03T09:44:18.104Z"
"teuflisch / Teufel","devilish / devil","","2021-05-03T06:42:30.719Z"
"umarmen","embrace/ hug","","2021-04-29T08:26:51.278Z"
"Bestätigung","confirmation","","2021-04-29T07:58:26.171Z"
"frech","naughty","","2021-04-28T21:49:12.918Z"
"antwortete / erwiderte","answered / replied","","2021-04-28T21:53:14.586Z"
"tauchen","diving","","2021-04-28T22:04:55.845Z"
"dringend","urgent","","2021-04-28T19:25:38.973Z"
"herzhaft / herzvoll / herzlich","hearty / hearty / warm","","2021-04-28T21:47:43.172Z"
"sorgsam / behutsam / sanft / vorsichtig","careful / cautious / gentle / careful","","2021-04-30T14:51:10.757Z"
"schmeißen / Warfe","throw / throw","","2021-04-30T10:03:09.726Z"
"die Witwe","the Widow","Die Witwe überwand ihre Trauer mithilfe ihrer Freunde.","2021-05-01T15:41:53.634Z"
"auffällig","striking/noticable","","2021-02-27T10:13:27.331Z"
"jucken","itch","","2021-02-27T09:53:37.061Z"
"Ausdruck","Expression","","2021-04-29T12:08:38.523Z"
"der Feierabend","after work","","2021-01-27T23:07:43.155Z"
"Anblick","sight","","2021-04-29T12:32:51.143Z"
"Dampfbad","steam bath","","2021-04-29T12:22:40.312Z"
"einfach","easy","","2021-05-03T09:48:52.242Z"
"planschten","splashed","","2021-05-03T09:47:57.567Z"
"Segeltuch / Leinwand","Canvas / canvas","Die Künstlerin malt auf einer großen Leinwand.","2021-04-30T21:39:43.107Z"
"das Kommando","the command","","2021-05-01T06:40:24.989Z"
"gesunken","decreased","Das Schiff ist im Sturm gesunken.","2021-04-08T06:24:52.075Z"
"Bedacht","Considered","Sie sprach mit Bedacht über die schwierige Situation.","2021-04-30T12:55:34.975Z"
"langsam","slowly","Der Schnecke bewegt sich sehr langsam.","2021-02-13T19:06:40.905Z"
"sterilisiert / sterilisator","sterilized / sterilizer","","2021-04-30T09:46:00.418Z"
"Tatsache","fact","","2021-04-29T13:44:13.515Z"
"flutschen /rutschen /schlüpfen","slide / slide / slip","","2021-02-12T06:41:21.219Z"
"fabelhaft","fabulous","","2021-02-11T15:17:05.696Z"
"die Wettervorhersage / der Wetterbericht","the weather forecast","","2021-02-08T09:23:52.068Z"
"verstärkung","reinforcement","","2021-02-14T17:59:34.357Z"
"ständge","constant","","2021-01-27T13:44:05.535Z"
"die fremde","the stranger","","2021-02-14T18:15:39.411Z"
"grausam","cruel/ Horrible","","2021-02-22T14:51:45.082Z"
"rauchabteil","smoke compartment","","2021-02-13T18:22:44.773Z"
"erfolgreich","successful","","2021-02-18T06:09:53.893Z"
